department,budget_type,project,budget
감사원,일반회계,감사연구활동경비,484
감사원,일반회계,감사활동경비,23177
감사원,일반회계,국제교류협력강화,265
감사원,일반회계,기본경비,10572
감사원,일반회계,수입대체경비,297
감사원,일반회계,인건비,72133
감사원,일반회계,전산운영경비,3589
감사원,일반회계,청사 및 시설물 관리,1257
경찰청,일반회계,감사·인권보호활동,3083
경찰청,일반회계,경비경찰역량강화,184586
경찰청,일반회계,경찰대학운영,10385
경찰청,일반회계,경찰보수교육,8503
경찰청,일반회계,경찰복지증진,11481
경찰청,일반회계,경찰유무선망개선,65226
경찰청,일반회계,경찰장비현대화,239004
경찰청,일반회계,경찰정보화기반고도화(정보화),52826
경찰청,일반회계,교통사고예방,258339
경찰청,일반회계,교통행정전산화(정보화),3129
경찰청,일반회계,국제교류협력활동,2975
경찰청,일반회계,대국민치안정책제공,919
경찰청,일반회계,대테러상황관리,6086
경찰청,일반회계,범죄수사,113304
경찰청,일반회계,범죄예방,23223
경찰청,일반회계,보안경찰활동,34814
경찰청,일반회계,본부기본경비,381109
경찰청,일반회계,본부인건비,7053897
경찰청,일반회계,사이버수사,6715
경찰청,일반회계,소속기관기본경비,11424
경찰청,일반회계,소속기관인건비,84149
경찰청,일반회계,수사경찰전문교육,2493
경찰청,일반회계,신임순경교육,28510
경찰청,일반회계,여성청소년보호활동,38736
경찰청,일반회계,외사경찰활동,15291
경찰청,일반회계,우수인재확보및능력개발,7215
경찰청,일반회계,일반행정업무지원,485697
경찰청,일반회계,정책연구개발(R&D),2200
경찰청,일반회계,첨단과학수사,19021
경찰청,일반회계,치안정보활동,37331
경찰청,일반회계,행정효율성증진및능력개발,2936
경찰청,일반회계,헬기운용 및 현대화,24538
경찰청,일반회계,회계간전출금(책특병원손익계정),33368
경찰청,일반회계,회계간전출금(책특병원자본계정),3183
경찰청,지역발전특별회계,광역교통관리체계개선,15688
경찰청,지역발전특별회계,제주이관인력지원,3547
경찰청,혁신도시건설특별회계,혁신도시건설,79942
경찰청,경찰병원,감가상각비(경찰병원계정),1
경찰청,경찰병원,경찰병원기본경비,3843
경찰청,경찰병원,경찰병원인건비,32675
경찰청,경찰병원,공무원연금부담금(경찰병원계정),2899
경찰청,경찰병원,당기순이익(경찰병원계정),1
경찰청,경찰병원,자산취득,3051
경찰청,경찰병원,장례식장운영,1621
경찰청,경찰병원,진료업무지원,26081
고용노동부,일반회계,고객상담센터운영,1162
고용노동부,일반회계,고용노동통계조사,10446
고용노동부,일반회계,고용노동행정정보화,12918
고용노동부,일반회계,고용노동행정혁신,905
고용노동부,일반회계,고용영향평가사업,3179
고용노동부,일반회계,고용지원인프라운영,37332
고용노동부,일반회계,고용평등환경개선,1400
고용노동부,일반회계,국가ㆍ민간자격관리,136
고용노동부,일반회계,국제기구협력지원,10504
고용노동부,일반회계,국제노동교류협력,494
고용노동부,일반회계,근로감독행정,5154
고용노동부,일반회계,근로조건보호,8812
고용노동부,일반회계,노동위원회운영,5450
고용노동부,일반회계,노사문화구축,5952
고용노동부,일반회계,노사발전재단지원,14139
고용노동부,일반회계,노사정위원회운영,2527
고용노동부,일반회계,노사협력,4588
고용노동부,일반회계,대상별취업지원,274618
고용노동부,일반회계,본부기본경비,14732
고용노동부,일반회계,본부인건비,54706
고용노동부,일반회계,사회보험 사각지대 해소,579265
고용노동부,일반회계,사회적기업육성,64712
고용노동부,일반회계,소속기관기본경비,3064
고용노동부,일반회계,소속기관인건비,25181
고용노동부,일반회계,스펙초월 멘토스쿨 운영,2490
고용노동부,일반회계,실업자능력개발지원,65436
고용노동부,일반회계,실업크레딧지원,12870
고용노동부,일반회계,외국인력관리지원,2402
고용노동부,일반회계,일반회계에서 고용보험기금으로의 전출금(고용보험운영),718
고용노동부,일반회계,일반회계에서 고용보험기금으로의 전출금(모성보호지원),70000
고용노동부,일반회계,일반회계에서 산재기금으로의 전출금,15500
고용노동부,일반회계,일반회계에서 임채기금으로의 전출금(임채기금운영),82
고용노동부,일반회계,일반회계에서 장애인기금으로의 전출금(장애인기금운영),25000
고용노동부,일반회계,장년희망찾기지원,7002
고용노동부,일반회계,정책연구개발,889
고용노동부,일반회계,중소기업청년인턴제,18319
고용노동부,일반회계,지방고용노동관서운영,1031
고용노동부,일반회계,지방청기본경비,12316
고용노동부,일반회계,지방청인건비,212378
고용노동부,일반회계,지역일자리목표공시제,400
고용노동부,일반회계,청관사유지,10348
고용노동부,일반회계,청년강소기업체험프로그램,3455
고용노동부,일반회계,청년취업아카데미운영지원,30139
고용노동부,일반회계,퇴직급여정착지원제도,3241
고용노동부,일반회계,한국고용정보원출연,14834
고용노동부,일반회계,한국기술교육대학교출연,45270
고용노동부,일반회계,한국산업인력공단출연,93505
고용노동부,일반회계,한국잡월드운영,11802
고용노동부,일반회계,한국폴리텍대학출연,171430
고용노동부,일반회계,해외취업지원,35637
고용노동부,일반회계,핵심직무역량평가모델개발및보급,1215
고용노동부,에너지및자원사업특별회계,진폐근로자보호,61896
고용노동부,지역발전특별회계,사회적기업육성,81792
고용노동부,지역발전특별회계,자치단체직업능력개발지원(제주),247
고용노동부,지역발전특별회계,제주이관업무지원,8019
공정거래위원회,일반회계,가맹유통분야 거래행태 개선,594
공정거래위원회,일반회계,공정위 정보화,2411
공정거래위원회,일반회계,기본경비,6877
공정거래위원회,일반회계,대중소기업 동반성장시책 추진,153
공정거래위원회,일반회계,독과점시장 환경개선,1079
공정거래위원회,일반회계,선진 경쟁정책 추진,929
공정거래위원회,일반회계,선진 소비자정책 추진,598
공정거래위원회,일반회계,소비자권익증진 지원,2066
공정거래위원회,일반회계,소비자보호 인프라 운용,3106
공정거래위원회,일반회계,시장구조개선,257
공정거래위원회,일반회계,인건비,36802
공정거래위원회,일반회계,카르텔대응강화,995
공정거래위원회,일반회계,하도급분야 거래행태 개선,700
공정거래위원회,일반회계,한국공정거래조정원 출연,4806
공정거래위원회,일반회계,한국소비자원 출연,37766
공정거래위원회,일반회계,행정지원,4834
관세청,일반회계,FTA이행,5814
관세청,일반회계,관세국경관리연수원,3447
관세청,일반회계,관세정책지원,26318
관세청,일반회계,관세탈루심사지원,4344
관세청,일반회계,관세행정정보화,63762
관세청,일반회계,국제교역협력,6351
관세청,일반회계,밀수단속지원,5104
관세청,일반회계,본청기본경비,9298
관세청,일반회계,본청인건비,42118
관세청,일반회계,소속기관기본경비,19404
관세청,일반회계,소속기관인건비,233508
관세청,일반회계,수출입통관및물류촉진지원,13872
관세청,일반회계,조사감시선진화,25685
관세청,일반회계,청사확보 및 시설개선,22361
교육부,일반회계,BK21 플러스사업,298222
교육부,일반회계,고전문헌 국역 지원,3000
교육부,일반회계,교육기본통계조사.관리,3500
교육부,일반회계,교육기부활성화,4064
교육부,일반회계,교육차관사업(일반회계),2580
교육부,일반회계,교육행정운영,4238
교육부,일반회계,국가직무능력표준구축,24317
교육부,일반회계,국가평생교육진흥원 출연,7332
교육부,일반회계,국립국제교육원 기본경비,2122
교육부,일반회계,국립국제교육원 연수 및 교육과정 운영(수입대체경비),8526
교육부,일반회계,국립국제교육원 인건비,5277
교육부,일반회계,국립대학 교육기반조성,254832
교육부,일반회계,국립대학 국유재산 활용 활성화(수입대체경비),17459
교육부,일반회계,국립대학 기본경비,152181
교육부,일반회계,국립대학 시설확충,365130
교육부,일반회계,국립대학 운영지원,1314247
교육부,일반회계,국립대학 인건비,1669793
교육부,일반회계,국립대학 입시 및 논문심사(수입대체경비),18682
교육부,일반회계,국립대학 자원관리 선진화 시스템,7000
교육부,일반회계,국립대학법인 운영 지원,447500
교육부,일반회계,국립대학병원 여건개선,52100
교육부,일반회계,국립부설학교 학력증진 지원,48042
교육부,일반회계,국제교육 교류 협력 활성화,57984
교육부,일반회계,국제백신연구소 지원,4000
교육부,일반회계,글로벌 교육협력 지원사업,25246
교육부,일반회계,대학교육 역량 강화,54200
교육부,일반회계,대학구조개혁 지원,24451
교육부,일반회계,대학시간강사 처우개선 지원,111065
교육부,일반회계,대학의 여성인력 참여확대 및 능력증진,100
교육부,일반회계,대학자율역량 강화,70414
교육부,일반회계,대학정보공시 통합정보시스템 구축,3230
교육부,일반회계,대학정보화 지원,2660
교육부,일반회계,대학평가지원,2925
교육부,일반회계,동북아역사재단 지원,18585
교육부,일반회계,맞춤형 국가장학금 지원,3845630
교육부,일반회계,보통교부금,38018542
교육부,일반회계,본부 기본경비,13787
교육부,일반회계,본부 인건비,42717
교육부,일반회계,사립학교교직원연금부담금(일반회계),655127
교육부,일반회계,사이버대학 경쟁력 강화 추진,625
교육부,일반회계,산학협력 기반조성,2337
교육부,일반회계,서울대AID차관사업(일반회계),280
교육부,일반회계,소속기관 기본경비,13720
교육부,일반회계,소속기관 인건비,13989
교육부,일반회계,아세안대학 이러닝지원,1838
교육부,일반회계,영어교육활성화지원,1035
교육부,일반회계,이공학학술연구조성,336500
교육부,일반회계,이러닝 세계화,2075
교육부,일반회계,이러닝 활성화,1638
교육부,일반회계,인문사회 출연기관 지원,46105
교육부,일반회계,인문사회학술연구 조성,246359
교육부,일반회계,인적자원개발정책 추진,814
교육부,일반회계,장애인교육지원,6227
교육부,일반회계,재외동포 한민족 정체성 확립,4532
교육부,일반회계,재외동포교육 운영지원,62099
교육부,일반회계,저개발국 교육인재양성 지원,1947
교육부,일반회계,전국 학부모지원센터 운영지원,270
교육부,일반회계,전문대학원 체제정착,3158
교육부,일반회계,정책연구개발사업,1450
교육부,일반회계,중앙교육연수원 교육행정전산화,384
교육부,일반회계,중앙교육연수원 연수생 교육훈련 지원,2210
교육부,일반회계,지역평생교육활성화지원,5831
교육부,일반회계,직업교육체제 혁신,2400
교육부,일반회계,창의적인재육성,14578
교육부,일반회계,초중등교육 역량강화,5973
교육부,일반회계,통계기반 교육정책.연구지원,748
교육부,일반회계,특별교부금,1387024
교육부,일반회계,특수교육 내실화 기반구축,5723
교육부,일반회계,특수교육 연수 및 운영(수입대체경비),657
교육부,일반회계,특수교육정보화지원,580
교육부,일반회계,특수학교 기본경비,5865
교육부,일반회계,특수학교 인건비,30145
교육부,일반회계,평생학습 기반구축,1753
교육부,일반회계,평생학습 활성화지원,20851
교육부,일반회계,평생학습계좌제 도입,542
교육부,일반회계,학생정신 건강센터 지원,1546
교육부,일반회계,학술단체 지원,10168
교육부,일반회계,학술연구 국제교류 강화,8400
교육부,일반회계,학술자원 관리체계 및 연구윤리기반 구축,8830
교육부,일반회계,학술장학지원관연구기획심사평가사업,13200
교육부,일반회계,한국고전번역원 청사이전 신축,1600
교육부,일반회계,한국교육학술정보원 출연,31105
교육부,일반회계,한국바로알리기,1279
교육부,일반회계,한국사 연구.편찬 및 이해증진,5090
교육부,일반회계,한국사능력검정시험운영,3438
교육부,일반회계,한국장학재단 출연,335326
교육부,일반회계,한국형 첨단교실 활용교육 지원,1800
교육부,일반회계,행정업무정보화 지원,10713
교육부,지역발전특별회계,대학교육 역량 강화,59400
교육부,지역발전특별회계,산학협력 선도 전문대학 육성,19500
교육부,지역발전특별회계,산학협력 선도대학(LINC) 육성,246662
교육부,지역발전특별회계,지방대학육성사업,207540
교육부,지역발전특별회계,지역혁신창의인력양성사업,26201
교육부,지역발전특별회계,특성화 전문대학 육성,296924
교육부,지역발전특별회계,학교기업지원사업,10493
교육부,혁신도시건설특별회계,중앙교육연수원 지방이전,31809
국가보훈처,일반회계,고엽제지원,13278
국가보훈처,일반회계,공훈심사,1895
국가보훈처,일반회계,교육지원,41294
국가보훈처,일반회계,교통시설이용지원,9352
국가보훈처,일반회계,국립묘지조성및관리,32084
국가보훈처,일반회계,기념사업,10450
국가보훈처,일반회계,나라사랑정신함양,3661
국가보훈처,일반회계,독립기념관,25091
국가보훈처,일반회계,등록심사,2132
국가보훈처,일반회계,보훈단체지원,22304
국가보훈처,일반회계,보훈보상금,2453902
국가보훈처,일반회계,보훈서비스지원,3850
국가보훈처,일반회계,보훈심사,1373
국가보훈처,일반회계,소속기관기본경비,5396
국가보훈처,일반회계,수당,1120155
국가보훈처,일반회계,수시보상금,24621
국가보훈처,일반회계,의료지원,517815
국가보훈처,일반회계,의료환경개선,13311
국가보훈처,일반회계,인건비,70399
국가보훈처,일반회계,일반행정,3015
국가보훈처,일반회계,정보화,2392
국가보훈처,일반회계,제대군인생활안정,14273
국가보훈처,일반회계,참전.제대군인명예선양,11904
국가보훈처,일반회계,처본부기본경비,4716
국가보훈처,일반회계,청관사임차및시설개선,4173
국가보훈처,일반회계,취업지원,1611
국가보훈처,일반회계,현충시설,17863
국가보훈처,일반회계,회계기금간전출,3685
국가보훈처,일반회계,회계기금간전출(보훈기금),444
국가보훈처,에너지및자원사업특별회계,LPG차량지원,29224
국가보훈처,지역발전특별회계,제주이관업무지원,1701
국가인권위원회,일반회계,국내외 인권협력 강화,491
국가인권위원회,일반회계,기본경비,7593
국가인권위원회,일반회계,사회적 약자 및 소수자 인권보호,1430
국가인권위원회,일반회계,인건비,12816
국가인권위원회,일반회계,인권감수성의 사회적 확산,1044
국가인권위원회,일반회계,인권교육 활성화,1032
국가인권위원회,일반회계,인권위 정보화(정보화),1012
국가인권위원회,일반회계,인권제도 선진화,1508
국가정보원,일반회계,정보활동,478236
국무조정실 및 국무총리비서실,일반회계,KDI 국제정책대학원 연금기금 국가부담금 지원,112
국무조정실 및 국무총리비서실,일반회계,경제인문사회연구회,28161
국무조정실 및 국무총리비서실,일반회계,과학기술정책연구원,10843
국무조정실 및 국무총리비서실,일반회계,국가적중장기 추진과제 지원,4717
국무조정실 및 국무총리비서실,일반회계,국정운영 기획관리 및 평가,4389
국무조정실 및 국무총리비서실,일반회계,국토연구원,28414
국무조정실 및 국무총리비서실,일반회계,규제개혁,1761
국무조정실 및 국무총리비서실,일반회계,기본경비,10162
국무조정실 및 국무총리비서실,일반회계,대국민 및 정당과의 소통,1542
국무조정실 및 국무총리비서실,일반회계,대외경제정책연구원,30243
국무조정실 및 국무총리비서실,일반회계,사회통합 및 안전관리 추진,504
국무조정실 및 국무총리비서실,일반회계,산업연구원,19651
국무조정실 및 국무총리비서실,일반회계,인건비,37560
국무조정실 및 국무총리비서실,일반회계,통일연구원,10239
